rno,level,lose,point,profileIconId,summonerName,tier,win
482,345,339,666,4492,whymesodiao,GRANDMASTER,378
483,208,362,666,4568,엘리멘트미스틱,GRANDMASTER,378
484,261,243,666,3478,apdlvmftmxhfl,GRANDMASTER,281
485,288,966,665,502,milaoshu,GRANDMASTER,1004
486,367,790,665,4659,Popular0,GRANDMASTER,831
487,119,316,665,7,이문세옛사랑,GRANDMASTER,362
488,69,262,664,23,SHERNF1RE,GRANDMASTER,303
489,163,271,663,4379,앱븐이와되지,GRANDMASTER,320
490,98,280,663,4787,2020LYAS08,GRANDMASTER,310
491,311,235,663,4653,IIrrooGG,GRANDMASTER,267
492,215,843,661,4631,불독좋아,GRANDMASTER,871
493,112,475,661,6,Giveaname,GRANDMASTER,567
494,93,449,661,20,yanyumengmeng1,GRANDMASTER,564
495,66,209,661,4832,IGz1498187796,GRANDMASTER,307
496,457,742,659,3839,ROKA큐베,GRANDMASTER,773
497,233,433,659,719,엉덩국갱승제로,GRANDMASTER,442
498,260,578,658,11,Roach,GRANDMASTER,621
499,190,399,657,4086,펜니르분신,GRANDMASTER,486
500,356,634,656,4561,HUYATVSpoon,GRANDMASTER,679
501,62,184,656,7,babyye,GRANDMASTER,289
502,607,1199,654,4568,DYNDnDn,GRANDMASTER,1248
503,160,981,654,1114,sdasfdfghj,GRANDMASTER,999
504,149,796,654,29,fanqieguo,GRANDMASTER,871
505,67,159,653,4655,Specialfocus,GRANDMASTER,263
506,46,98,651,29,유환중학교,GRANDMASTER,132
507,53,103,648,4758,77GameGOO,GRANDMASTER,202
508,432,243,647,29,원딜은무기력하다,GRANDMASTER,315
509,349,849,646,847,SANDBOXLeo,GRANDMASTER,871
510,156,606,645,3018,PushMidDiveBot,GRANDMASTER,645
511,488,1182,644,1590,ShadowSwamp,GRANDMASTER,1270
512,388,1706,641,3233,존시나의전신화보,GRANDMASTER,1732
513,565,1520,641,4802,blyh,GRANDMASTER,1588
