rno,level,lose,name,point,profileIconId,tier,win,summonerName
261,136,367,NULL,870,16,CHALLENGER,425,교육잘받은도구
262,122,276,NULL,870,3150,CHALLENGER,335,downsleep
263,90,369,NULL,869,4409,CHALLENGER,439,mymx1
264,97,345,NULL,868,4626,CHALLENGER,426,훙쌍리
265,89,161,NULL,868,4658,CHALLENGER,291,학이농장
266,356,821,NULL,867,4414,CHALLENGER,871,CorporalsDog
267,325,477,NULL,867,4832,CHALLENGER,512,FAGaeng
268,113,239,NULL,867,3542,CHALLENGER,298,로켓슝슝
269,294,240,NULL,866,1630,CHALLENGER,289,군밤갓
270,60,51,NULL,866,4794,CHALLENGER,173,힘내다잘될거야
271,574,1007,NULL,865,4834,CHALLENGER,1083,FANatalie
272,134,724,NULL,865,4787,CHALLENGER,799,마이티베어
273,71,228,NULL,865,4783,CHALLENGER,355,jiaoliubingqing
274,98,250,NULL,864,4497,CHALLENGER,374,박탁민
275,177,314,NULL,864,4022,CHALLENGER,365,L1sure
276,62,135,NULL,864,4779,CHALLENGER,237,소년가장원딜
277,138,201,NULL,862,3599,CHALLENGER,252,MAIWAY
278,170,930,NULL,852,3840,CHALLENGER,1051,SANDBOXMuru
279,353,374,NULL,845,984,CHALLENGER,417,FaaaaaaaaSup
280,491,1032,NULL,819,3587,CHALLENGER,1065,DRX1234
281,211,987,NULL,810,4558,CHALLENGER,1046,HUYATVUMC
282,538,984,NULL,788,1437,CHALLENGER,1036,쿠리
283,157,830,NULL,889,4021,GRANDMASTER,897,qwerewqw
284,278,983,NULL,873,1439,GRANDMASTER,1025,sdxsdx156
285,93,172,NULL,861,25,GRANDMASTER,240,남탓제발그만해
286,172,246,NULL,859,3955,GRANDMASTER,305,FAKey
287,152,825,NULL,854,23,GRANDMASTER,886,SSW장형석
288,115,257,NULL,854,4817,GRANDMASTER,307,FAGaeng2
289,262,592,NULL,850,4568,GRANDMASTER,628,SANDBOXIce
290,143,774,NULL,848,4405,GRANDMASTER,851,Me1k0
291,435,840,NULL,846,4568,GRANDMASTER,914,황제펭귄5호
292,162,295,NULL,844,4022,GRANDMASTER,337,EM상어
293,76,277,NULL,844,29,GRANDMASTER,323,qlqlqlqlll
294,284,1277,NULL,842,3543,GRANDMASTER,1303,Fahai
295,85,171,NULL,842,4025,GRANDMASTER,242,DRXHP1
296,163,951,NULL,839,3788,GRANDMASTER,1064,IGzhao1498187796
297,181,42,NULL,839,4832,GRANDMASTER,108,YeoPuuu
298,258,431,NULL,837,4595,GRANDMASTER,485,망해부럿스
299,273,378,NULL,836,4817,GRANDMASTER,427,heeseong
300,166,207,NULL,836,1594,GRANDMASTER,251,yasuo2
301,324,517,NULL,835,4561,GRANDMASTER,582,곽곽보성
302,296,378,NULL,835,4661,GRANDMASTER,438,malrang123
303,197,357,NULL,835,4409,GRANDMASTER,412,1KEGO
304,64,181,NULL,834,4832,GRANDMASTER,289,FPXzhaoUP4506303
305,494,1081,NULL,833,4107,GRANDMASTER,1143,호잇이
